layer,method,panel_seed,positive_pair_id,positive_rank,source
experimental_pdb,surface_v2_helix,pdb,PAIR_OB1A12_ENGA_MBP,3,this_package_primary_surface_analysis
experimental_pdb,surface_v2_height,pdb,PAIR_OB1A12_ENGA_MBP,5,this_package_primary_surface_analysis
experimental_pdb,surface_v2_normal,pdb,PAIR_OB1A12_ENGA_MBP,6,this_package_primary_surface_analysis
experimental_pdb,surface_v2_shape,pdb,PAIR_OB1A12_ENGA_MBP,5,this_package_primary_surface_analysis
experimental_pdb,surface_v2_peptide,pdb,PAIR_HY1B11_UL15_MBP,3,this_package_primary_surface_analysis
experimental_pdb,surface_v2_composite,pdb,PAIR_HY1B11_UL15_MBP,3,this_package_primary_surface_analysis
experimental_pdb,surface_v2_helix,pdb,PAIR_HY1B11_UL15_MBP,2,this_package_primary_surface_analysis
experimental_pdb,surface_v2_height,pdb,PAIR_HY1B11_UL15_MBP,3,this_package_primary_surface_analysis
experimental_pdb,surface_v2_normal,pdb,PAIR_HY1B11_UL15_MBP,3,this_package_primary_surface_analysis
experimental_pdb,surface_v2_shape,pdb,PAIR_HY1B11_UL15_MBP,3,this_package_primary_surface_analysis
experimental_pdb,surface_v2_peptide,pdb,PAIR_HY1B11_PMM_MBP,2,this_package_primary_surface_analysis
experimental_pdb,surface_v2_composite,pdb,PAIR_HY1B11_PMM_MBP,2,this_package_primary_surface_analysis
experimental_pdb,surface_v2_helix,pdb,PAIR_HY1B11_PMM_MBP,3,this_package_primary_surface_analysis
experimental_pdb,surface_v2_height,pdb,PAIR_HY1B11_PMM_MBP,2,this_package_primary_surface_analysis
experimental_pdb,surface_v2_normal,pdb,PAIR_HY1B11_PMM_MBP,2,this_package_primary_surface_analysis
experimental_pdb,surface_v2_shape,pdb,PAIR_HY1B11_PMM_MBP,2,this_package_primary_surface_analysis
